PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
SUBJECT,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso ,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS
3A4,A1,A1,2,B1,B2,5,B2,B3,7,B2,B4,8,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3A5,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3A6,A1,A1,2,B1,B1,4,B2,B2,6,B2,B3,7,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3A7,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3A8,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3A9,A1,A1,2,B1,B1,4,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3A10,A1,A1,2,B1,B1,4,B2,B3,7,B3,B4,9,C1,B4,10,C1,B4,10,C2,B4,11,C2,C2,13,C2,C2,13,C3,C3,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B1,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C1,B3,9,C1,B4,10,C2,C1,12,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3B2,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C1,B3,9,C1,B3,9,C2,B4,11,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,,,
3B3,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B4,A1,A1,2,B1,B2,5,B3,B3,8,B3,B4,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B5,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B6,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B7,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B8,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C2,B4,11,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B9,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C3,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3B10,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C1,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C2,A1,A1,2,B1,B2,5,B3,B3,8,B3,B4,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C3,15,C3,C3,15,C3,C3,15,C3,C3,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3C3,A1,A1,2,B1,B2,5,C1,B2,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C3,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C4,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C2,B4,11,C3,C1,13,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C5,A1,A1,2,B1,B2,5,B2,B2,6,C1,B3,9,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C6,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C7,A1,A1,2,B1,B2,5,B3,B2,7,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C2,C2,13,C2,C2,13,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C8,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C9,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,C1,11,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3C10,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D1,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3D2,A1,A1,2,B1,B1,4,B3,B2,7,C1,B3,9,C1,B3,9,C1,B4,10,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3D3,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D4,A1,A1,2,B1,B1,4,B3,B2,7,C1,B4,10,C1,B4,10,C1,B4,10,C2,B4,11,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3D5,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C2,13,C2,C2,13,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D6,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D7,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D8,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3D9,A1,A1,2,B1,B1,4,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3D10,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA1,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA2,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA3,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C3,C1,13,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA4,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA5,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C2,B4,11,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA6,A1,A1,2,B1,B2,5,B2,B3,7,B2,B4,10,C1,B3,9,C2,C1,12,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA7,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA8,A1,A1,2,B1,B1,4,B2,B3,7,C1,B3,9,C1,B3,9,C2,B4,11,C2,C1,12,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA9,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3BA10,A1,A1,2,B1,B2,5,B2,B2,6,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA1,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA2,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA3,A1,A1,2,B1,B1,4,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA4,A1,A1,2,B1,B2,5,B1,B3,6,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA5,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA6,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA7,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C2,B4,11,C2,B4,11,C2,B4,11,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA8,A1,A1,2,B1,B1,4,C1,B3,9,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA9,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3CA10,A1,A1,2,B1,B1,4,C1,B3,9,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA1,A1,A1,2,B1,B2,5,B2,B3,7,B2,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA2,A1,A1,2,B1,B1,4,B2,B3,7,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
3DA3,A1,A1,2,B1,B3,6,B2,B3,7,C1,B3,9,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA4,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA5,A1,A1,2,B1,B3,6,B2,B3,7,C1,B4,10,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA6,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA7,A1,A1,2,B1,B2,5,C1,B3,9,C2,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA8,A1,A1,2,B1,B3,6,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C3,C1,13,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA9,A1,A1,2,B1,B2,5,B2,B3,7,C2,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3DA10,A1,A1,2,B1,B1,4,B3,B3,8,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC1,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C2,B4,11,C2,B4,11,C2,B4,11,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,,,
3PC2,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC3,A1,A1,2,B1,B1,4,B1,B3,6,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC4,A1,A1,2,B3,B1,6,B3,B3,8,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC5,A1,A1,2,B1,B2,5,B2,B3,7,C2,B4,11,C2,B4,11,C2,B4,11,C2,C1,12,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC6,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B3,9,C1,B3,9,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC7,A1,A1,2,B1,B2,5,B1,B3,6,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC8,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C1,B3,9,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C3,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC9,A1,A1,2,B1,B2,5,B2,B3,7,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3PC10,A1,A1,2,B1,B1,4,C1,B3,9,C1,B4,10,C1,B4,10,C1,B4,10,C1,C1,11,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC1,A1,A1,2,B1,B1,4,B1,B2,5,C1,B3,9,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC2,A1,A1,2,B1,B1,4,B2,B3,7,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC3,A1,A1,2,B1,B2,5,B3,B3,8,B3,B4,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC4,A1,A1,2,B1,B2,5,B1,B3,6,B2,B4,8,C1,B4,10,C1,B4,10,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC5,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC6,A1,A1,2,B1,B2,5,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC7,A1,A1,2,B1,B2,5,B2,B3,7,C1,B4,10,C1,B4,10,C1,B4,10,C1,B4,10,C2,C2,13,C2,C2,13,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC8,A1,A1,2,B1,B1,4,C1,B3,9,C2,B3,10,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC9,A1,A1,2,B1,B1,4,B2,B3,7,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
3NC10,A1,A1,2,B1,B1,4,C1,B3,9,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C3,15,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
